year,region,region_oktmo,city,city_oktmo,air_general_level,air_standard_index,air_repeatability,air_qcp,air_solid_emissions,air_so_emissions,air_no_emissions,air_co_emissions,air_population,air_stantions
2007,Алтайский край,01000000,БАРНАУЛ,01701000,4,ВВ,No substance,"ВВ, NO2, Ф, БП",23.8,14.7,4.3,4.6,663.7,5+1
2007,Алтайский край,01000000,БИЙСК,01705000,3,H2S,No substance,"NO2,Ф, БП",9.0,7.4,2.9,12.7,224.5,3+1
2007,Алтайский край,01000000,ЗАРИНСК,01706000,3,No substance,No substance,"NO2, Фенол, Ф",2.9,4.8,2.4,17.8,51.3,1
2007,Амурская область,10000000,БЛАГОВЕЩЕНСК,10701000,4,No substance,No substance,"БП, Ф, NO2",12.3,3.8,4.0,6.2,214.3,1
2007,Амурская область,10000000,ЗЕЯ,10712000,1,No substance,No substance,NO2,0.4,0.3,0.2,1.4,27.2,1+1
2007,Амурская область,10000000,ТЫНДА,10732000,2,No substance,No substance,"Ф, БП",3.3,1.1,0.6,2.2,38.6,1
2007,Архангельская область,11000000,АРХАНГЕЛЬСК,11701000,3,No substance,No substance,"NO,БП,Ф",7.4,32.9,5.4,7.1,349.2,3
2007,Архангельская область,11000000,КОРЯЖМА,11708000,1,No substance,No substance,БП,2.9,1.1,4.6,3.8,42.7,1
2007,Архангельская область,11000000,НОВОДВИНСК,11715000,3,No substance,No substance,"ММ, Ф, БП",14.1,11.0,4.3,2.4,42.5,2
2007,Архангельская область,11000000,СЕВЕРОДВИНСК,11730000,3,No substance,No substance,"Ф, БП",14.8,44.8,6.6,0.8,194.2,2
2007,Астраханская область,12000000,АКСАРАЙСКИЙ,12630404,1,No substance,No substance,No substance,-1.0,-1.0,-1.0,-1.0,-1.0,1+1
2007,Астраханская область,12000000,АСТРАХАНЬ,12701000,3,No substance,No substance,"Ф, БП, NO2",1.2,0.4,3.2,3.2,501.3,5
2007,Астраханская область,12000000,БАЙБЕК,12630408,1,No substance,No substance,No substance,-1.0,-1.0,-1.0,-1.0,-1.0,1
2007,Астраханская область,12000000,БУЗАН,12630412,1,No substance,No substance,No substance,-1.0,-1.0,-1.0,-1.0,-1.0,1
2007,Астраханская область,12000000,ДОСАНГ,12630406,1,No substance,No substance,No substance,-1.0,-1.0,-1.0,-1.0,-1.0,1+1
2007,Астраханская область,12000000,КОМСОМОЛЬСКИЙ,12630406,1,No substance,No substance,No substance,-1.0,-1.0,-1.0,-1.0,-1.0,1
2007,Астраханская область,12000000,НАРИМАНОВ,12640101,1,No substance,No substance,No substance,-1.0,-1.0,-1.0,-1.0,-1.0,1
2007,Астраханская область,12000000,СЕИТОВКА,12630444,1,No substance,No substance,No substance,-1.0,-1.0,-1.0,-1.0,-1.0,1
2007,Белгородская область,00000000,БЕЛГОРОД,14701000,3,No substance,No substance,"БП, Ф",3.3,0.04,3.6,2.9,346.2,4
2007,Белгородская область,00000000,ГУБКИН,14730000,1,No substance,No substance,БП,8.6,8.2,1.7,0.8,86.2,2
2007,Белгородская область,00000000,СТАРЫЙ ОСКОЛ,14740000,2,No substance,No substance,"БП, Ф, NO2",15.4,2.5,7.0,36.0,218.7,3+1
2007,Брянская область,15000000,БРЯНСК,15701000,3,No substance,No substance,"ВВ, БП, Ф NO2",2.6,0.5,1.6,3.1,438.4,4
2007,Владимирская область,17000000,ВЛАДИМИР,17701000,4,No substance,22 Cажа,"БП, Ф, Фенол",0.4,0.9,1.6,1.1,336.1,4
2007,Волгоградская область,18000000,ВОЛГОГРАД,18701000,4,No substance,No substance,"NO2, Ф, БП, HCl, HF",8.1,3.9,10.6,29.2,1000.0,4
2007,Волгоградская область,18000000,ВОЛЖСКИЙ,18710000,4,No substance,No substance,"БП, Ф, NO2",1.8,5.1,6.8,35.3,307.2,1+1
2007,Вологодская область,19000000,ВОЛОГДА,19701000,2,No substance,No substance,"Ф, БП",1.0,0.3,1.1,2.2,311.5,2
2007,Вологодская область,19000000,ЧЕРЕПОВЕЦ,19730000,3,H2S,No substance,"БП, Ф",36.1,28.8,20.9,264.7,324.4,4+5
2007,Воронежская область,20000000,ВОРОНЕЖ,20701000,3,No substance,29 ВВ,"Ф, ВВ, БП, NO2",1.6,1.7,3.5,1.9,926.5,5
2007,Еврейская автономная область,99000000,БИРОБИДЖАН,99701000,3,No substance,No substance,"NO2, БП, Ф",4.6,1.9,0.8,2.1,74.7,1
2007,Забайкальский край,76000000,КРАСНОКАМЕНСК,76621101,-9,No substance,No substance,ВВ,-1.0,-1.0,-1.0,-1.0,55.6,1
2007,Забайкальский край,76000000,НЕРЧИНСК,76628101,-9,No substance,No substance,"ВВ, NO2",-1.0,-1.0,-1.0,-1.0,14.4,1
2007,Забайкальский край,76000000,НОВАЯ ЧАРА,76515000,-9,No substance,No substance,NO2,-1.0,-1.0,-1.0,-1.0,4.5,1
2007,Забайкальский край,76000000,ПЕТРОВСК-ЗАБАЙКАЛЬСКИЙ,76715000,-9,БП,No substance,"ВВ, БП",0.5,0.4,0.1,1.2,19.9,3
2007,Забайкальский край,76000000,ЧИТА,76701000,4,БП,27 ВВ,"NO2, ВВ, Ф, БП",12.4,3.2,6.9,6.1,306.2,6
2007,Ивановская область,24000000,ИВАНОВО,24701000,3,No substance,No substance,"БП, Ф",2.2,1.4,6.4,1.5,409.9,2
2007,Ивановская область,24000000,ПЛЕС,24620104,1,No substance,No substance,No substance,-1.0,-1.0,-1.0,-1.0,2.6,1
2007,Ивановская область,24000000,ПРИВОЛЖСК,24620106,1,No substance,No substance,ВВ,-1.0,-1.0,-1.0,-1.0,17.5,1
2007,Иркутская область,25000000,АНГАРСК,25703000,3,No substance,No substance,"Ф, БП",24.9,67.2,24.0,2.9,245.7,4
2007,Иркутская область,25000000,БАЙКАЛЬСК,25634108,1,No substance,No substance,БП,2.5,1.8,1.5,0.1,15.4,1
2007,Иркутская область,25000000,БИРЮСИНСК,25636105,1,No substance,No substance,No substance,-1.0,-1.0,-1.0,-1.0,9.6,1
2007,Иркутская область,25000000,БРАТСК,25714000,4,Ф,"27 Ф, 29 NO2, 39 CS2","Ф, NO2, БП, HF, CS2, ММ",19.1,7.3,7.3,76.9,254.9,6
2007,Иркутская область,25000000,ВИХОРЕВКА,25604103,-9,No substance,No substance,NO2,-1.0,-1.0,-1.0,-1.0,24.8,1
2007,Иркутская область,25000000,ЗИМА,25720000,4,No substance,21 NO2,"Ф, БП, NO2",0.08,0.1,0.01,0.1,34.1,2
